,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
6,39273000,77000.0,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,99.0,,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,551.0,G,GAS,1,1.0,,left_only
26,22887000,79000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,50.3992946,4.4255255,1961.0,70.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,MISSING,1,743.0,,left_only
79,72313000,79900.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,46.0,17.0,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,236.0,C,GAS,1,178.0,,left_only
102,11239000,80000.0,APARTMENT,TRIPLEX,Wallonia,Hainaut,Charleroi,6000,,,,120.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
104,30304000,80000.0,HOUSE,BUNGALOW,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74.0,0.0,4.0,2.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
106,11603000,80000.0,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74.0,0.0,4.0,2.0,INSTALLED,0,0,1,,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
108,8889000,80000.0,HOUSE,FARMHOUSE,Wallonia,Namur,Dinant,5560,50.1664213,5.0886512,,,65.0,4.0,0.0,MISSING,0,0,0,0.0,1,65.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
125,75558000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,153.0,0.0,4.0,0.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,1026.0,G,GAS,0,664.0,,left_only
127,67081000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4071465,3.6869172,,174.0,148.0,2.0,5.0,USA_SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,490.0,F,FUELOIL,0,,,left_only
132,57671000,80000.0,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7070,50.4745477,4.092182,,156.0,133.0,3.0,3.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,525.0,G,MISSING,0,33.0,,left_only
